x_axis,z_axis,time,task_name
0.0,0.08333333333333333,0.0,ascent
-0.125,0.08333333333333333,0.75,away
-0.25,0.08333333333333333,1.5,away
-0.25,0.16666666666666666,2.25,ascent
-0.25,0.16666666666666666,3.0,turn
-0.25,0.25,3.75,ascent
-0.375,0.25,4.5,away
-0.5,0.25,5.25,away
-0.625,0.25,6.0,away
-0.75,0.25,6.75,away
-0.875,0.25,7.5,away
-1.0,0.25,8.25,away
-1.125,0.25,9.0,away
-1.25,0.25,9.75,away
-1.375,0.25,10.5,away
-1.375,0.25,11.25,turn
-1.375,0.25,12.0,turn
-1.375,0.25,12.75,turn
-1.375,0.25,13.5,turn
-1.25,0.25,14.25,towards
-1.125,0.25,15.0,towards
-1.0,0.25,15.75,towards
-0.875,0.25,16.5,towards
-0.75,0.25,17.25,towards
-0.875,0.25,18.0,away
-1.0,0.25,18.75,away
-1.125,0.25,19.5,away
-1.125,0.15,20.25,descent
-1.125,0.04999999999999999,21.0,descent
-1.125,-0.05000000000000002,21.75,descent
-1.125,-0.15000000000000002,22.5,descent
