x_axis,z_axis,time,task_name
0.0,0.08333333333333333,0.0,ascent
0.0,0.16666666666666666,0.75,ascent
0.0,0.25,1.5,ascent
0.0,0.3333333333333333,2.25,ascent
0.0,0.41666666666666663,3.0,ascent
0.0,0.49999999999999994,3.75,ascent
-0.125,0.49999999999999994,4.5,away
-0.25,0.49999999999999994,5.25,away
-0.375,0.49999999999999994,6.0,away
-0.5,0.49999999999999994,6.75,away
-0.625,0.49999999999999994,7.5,away
-0.75,0.49999999999999994,8.25,away
-0.875,0.49999999999999994,9.0,away
-1.0,0.49999999999999994,9.75,away
-0.875,0.49999999999999994,10.5,towards
-0.875,0.49999999999999994,11.25,turn
-0.875,0.49999999999999994,12.0,turn
-0.875,0.49999999999999994,12.75,turn
-0.875,0.49999999999999994,13.5,turn
-0.75,0.49999999999999994,14.25,towards
-0.625,0.49999999999999994,15.0,towards
-0.5,0.49999999999999994,15.75,towards
-0.375,0.49999999999999994,16.5,towards
-0.25,0.49999999999999994,17.25,towards
-0.25,0.3999999999999999,18.0,descent
-0.25,0.29999999999999993,18.75,descent
-0.125,0.29999999999999993,19.5,towards
-0.125,0.19999999999999993,20.25,descent
-0.125,0.09999999999999992,21.0,descent
-0.125,-8.326672684688674e-17,21.75,descent
-0.125,-0.10000000000000009,22.5,descent
